,Course Title,Unit Count,Requisites,Course Description
10,14C. Structure of Organic Molecules,4.0,Chemistry and Biochemistry 14B with grade of C- or better,"14C. Structure of Organic Molecules
Units: 4.0
Lecture, three hours; discussion, one hour. Enforced requisite: course 14B with grade of C- or better. Not open to students with credit for course 30A. Continuing studies in structure of organic molecules, with emphasis on biological applications. Resonance, stereochemistry, conjugation, and aromaticity; spectroscopy (NMR, IR, and mass spectrometry); introduction to effects of structure on physical and chemical properties; survey of biomolecular structure. P/NP or letter grading.

"
11,14CL. General and Organic Chemistry Laboratory II,4.0,Chemistry and Biochemistry 14B and Chemistry and Biochemistry 14BL or 20B and 20L with grades of C- or better course 14C,"14CL. General and Organic Chemistry Laboratory II
Units: 4.0
Lecture, one hour; laboratory, six hours. Enforced requisites: courses 14B and 14BL, or 20B and 20L, with grades of C- or better. Enforced corequisite: course 14C. Synthesis and analysis of compounds; purification by extraction, chromatography, recrystallization, and sublimation; characterization by mass spectroscopy, UV, NMR, and IR spectroscopy, optical activity, electrochemistry, pH titration. P/NP or letter grading.

"
12,14D. Organic Reactions and Pharmaceuticals,4.0,Chemistry and Biochemistry 14C with grade of C- or better,"14D. Organic Reactions and Pharmaceuticals
Units: 4.0
Lecture, three hours; discussion, one hour. Enforced requisite: course 14C with grade of C- or better. Organic reactions, nucleophilic and electrophilic substitutions and additions; electrophilic aromatic substitutions, carbonyl reactions, catalysis, molecular basis of drug action, and organic chemistry of pharmaceuticals. P/NP or letter grading.

"
13,17. Chemical Principles,4.0,,"17. Chemical Principles
Units: 4.0
Lecture, three hours; discussion, one hour. Introduction to chemical principles: numbers, measurements, chemical calculations, gas laws, solutions, acids, bases, and salts, molecular structure, and nomenclature. Collaborative learning and problem solving; introduction to chemistry laboratory practice. P/NP or letter grading.

"
14,19. Fiat Lux Freshman Seminars,1.0,,"19. Fiat Lux Freshman Seminars
Units: 1.0
Seminar, one hour. Discussion of and critical thinking about topics of current intellectual importance, taught by faculty members in their areas of expertise and illuminating many paths of discovery at UCLA. P/NP grading.

"
15,20A. Chemical Structure,4.0,high school chemistry or equivalent background and three and one half years of high school mathematics high school physics,"20A. Chemical Structure
Units: 4.0
Lecture, three hours; discussion, one hour. Preparation: high school chemistry or equivalent background and three and one half years of high school mathematics. Recommended preparation: high school physics. Requisite: completion of Chemistry Diagnostic Test. Enforced corequisite: Mathematics 31A. Not open to students with credit for course 14A. First term of general chemistry. Survey of chemical processes, quantum chemistry, atomic and molecular structure and bonding, molecular spectroscopy. P/NP or letter grading.

"
16,20AH. Chemical Structure (Honors),4.0,high school chemistry or equivalent background high school physics and three and one half years of high school mathematics Mathematics 31A,"20AH. Chemical Structure (Honors)
Units: 4.0
Lecture, three hours; discussion, one hour. Preparation: high school chemistry or equivalent background, high school physics, and three and one half years of high school mathematics. Enforced corequisite: Mathematics 31A. Honors course parallel to course 20A. P/NP or letter grading.

"
17,20B. Chemical Energetics and Change,4.0,Chemistry and Biochemistry 20A or 20AH and Mathematics 31A with grades of C- or better Mathematics 31B,"20B. Chemical Energetics and Change
Units: 4.0
Lecture, three hours; discussion, one hour. Enforced requisites: course 20A or 20AH, and Mathematics 31A, with grades of C- or better. Enforced corequisite: Mathematics 31B. Second term of general chemistry. Intermolecular forces and organization, phase behavior, chemical thermodynamics, solutions, equilibria, reaction rates and laws. P/NP or letter grading.

"
18,20BH. Chemical Energetics and Change (Honors),4.0,Chemistry and Biochemistry 20A and Mathematics 31A with grades of B+ or better or 20AH with grade of B or better Mathematics 31B,"20BH. Chemical Energetics and Change (Honors)
Units: 4.0
Lecture, three hours; discussion, one hour. Enforced requisites: course 20A and Mathematics 31A with grades of B+ or better or 20AH with grade of B or better. Enforced corequisite: Mathematics 31B. Honors course parallel to course 20B. Letter grading.

"
19,20L. General Chemistry Laboratory,3.0,Chemistry and Biochemistry 14A or 20A with grade of C- or better course 14B or 20B,"20L. General Chemistry Laboratory
Units: 3.0
Lecture, one hour; laboratory, three hours. Enforced requisite: course 14A or 20A with grade of C- or better. Enforced corequisite: course 14B or 20B. Use of balance, volumetric techniques, volumetric and potentiometric analysis; Beer's law, applications for environmental analysis and materials science. P/NP or letter grading.

"
20,30A. Organic Chemistry I: Structure and Reactivity,4.0,Chemistry and Biochemistry 20B with grade of C- or better,"30A. Organic Chemistry I: Structure and Reactivity
Units: 4.0
Lecture, three hours; discussion, one hour. Enforced requisite: course 20B with grade of C- or better. First term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Covalent bonding, shapes, stereochemistry, and acid/base properties of organic molecules. Properties, synthesis, and reactions of alkanes, cycloalkanes, alkenes, and alkynes. SN2, SN1, elimination, and radical reactions. P/NP or letter grading.

"
21,30AL. General Chemistry Laboratory II,4.0,Chemistry and Biochemistry 20B (or Chemistry and Biochemistry 20BH) 20L and 30A (or 30AH) with grades of C- or better,"30AL. General Chemistry Laboratory II
Units: 4.0
Lecture, one hour; laboratory, six hours. Enforced requisites: courses 20B (or 20BH), 20L, and 30A (or 30AH), with grades of C- or better. Qualitative and quantitative analysis of chemical reactions and compounds, kinetics, separations, and spectroscopy. P/NP or letter grading.

"
22,"30B. Organic Chemistry II: Reactivity, Synthesis, and Spectroscopy",4.0,Chemistry and Biochemistry 30A or 30AH with grade of C- or better,"30B. Organic Chemistry II: Reactivity, Synthesis, and Spectroscopy
Units: 4.0
Lecture, three hours; discussion, one hour. Enforced requisite: course 30A or 30AH, with grade of C- or better. Second term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Properties, synthesis, and reactions of alcohols, ethers, sulfur compounds, aldehydes, ketones, carboxylic acids, and carboxylic acid derivatives. Organometallic compounds. Organic spectroscopy, including mass spectrometry, infrared spectroscopy, and proton and carbon nuclear magnetic resonance spectroscopy. P/NP or letter grading.

"
23,30BL. Organic Chemistry Laboratory I,3.0,Chemistry and Biochemistry 30A (or Chemistry and Biochemistry 30AH) 30AL and 30B with grades of C- or better,"30BL. Organic Chemistry Laboratory I
Units: 3.0
Lecture, one hour; laboratory, four hours. Requisites: courses 30A (or 30AH), 30AL and 30B, with grades of C- or better. Basic experimental techniques in organic synthesis (performing reactions, monitoring reactions, and conducting purifications) and spectroscopy (IR, NMR, mass spectrometry). Synthesis of known organic molecules on microscale level with focus on societal applications. P/NP or letter grading.

"
24,"30C. Organic Chemistry III: Reactivity, Synthesis, and Biomolecules",4.0,Chemistry and Biochemistry 30B with grade of C- or better,"30C. Organic Chemistry III: Reactivity, Synthesis, and Biomolecules
Units: 4.0
Lecture, three hours; discussion, one hour. Enforced requisite: course 30B with grade of C- or better. Third term of organic chemistry for Chemistry, Biochemistry, and engineering majors. Chemistry of enolates, enamines, dicarbonyl compounds, and amines. Molecular orbital theory and conjugated pi systems; UV/vis spectroscopy. Aromaticity and reactions of aromatic molecules. Heterocycles, pericyclic reactions, carbohydrates, and lipids. P/NP or letter grading.

"
25,30CL. Organic Chemistry Laboratory II,4.0,Chemistry and Biochemistry 30B and Chemistry and Biochemistry 30BL with grades of C- or better course 30C,"30CL. Organic Chemistry Laboratory II
Units: 4.0
Lecture, two hours; laboratory, six hours. Enforced requisites: courses 30B and 30BL, with grades of C- or better. Enforced corequisite: course 30C. Modern techniques in synthetic organic and analytical organic chemistry. Semi-preparative scale, multistep synthesis of organic and organometallic molecules, including asymmetric catalysts. One- and two-dimensional multinuclear NMR techniques. Written reports and proposals. P/NP or letter grading.

"
26,50. Computational Tools for Materials Modeling and Discovery,4.0,Chemistry and Biochemistry 14A or 20A or 20AH with grade of C- or better,"50. Computational Tools for Materials Modeling and Discovery
Units: 4.0
Lecture, three hours. Enforced requisite: course 14A or 20A or 20AH, with grade of C- or better. Materials are central to many modern technologies, from industrial catalysis, to batteries, computer hard disks, and quantum computers. Computational modeling gains central stage in materials research and discovery, especially with emergence of artificial intelligence techniques and big data initiatives. Introduction to computational tools enabling materials modeling, analysis, predictions, and graphical visualization. Topics such as crystallography, solid state chemistry, and surface science are brought together to enable effective modeling of solid state. Basic concepts related to programming and scripting, and basis of computational chemistry included. P/NP or letter grading.

"
27,88A. Lower-Division Seminar: Serendipity in Science,2.0,,"88A. Lower-Division Seminar: Serendipity in Science
Units: 2.0
Seminar, two hours. Limited to 20 freshmen. Inquiry into unexpected discoveries in science that have had significant impact on society and analysis of circumstances that brought these about, beginning with discovery of helium in sun by Janssen in 1868 (using newly developed field of spectroscopy). Discovery of X rays by Röntgen in 1895 and of radioactivity by Becquerel in 1896. Other topics include discoveries important to medicine, such as penicillin by Fleming in 1928 and cis-platin by Rosenberg in 1969. P/NP or letter grading.

"
28,89. Honors Seminars,1.0,,"89. Honors Seminars
Units: 1.0
Seminar, three hours. Limited to 20 students. Designed as adjunct to lower-division lecture course. Exploration of topics in greater depth through supplemental readings, papers, or other activities and led by lecture course instructor. May be applied toward honors credit for eligible students. Honors content noted on transcript. P/NP or letter grading.

"
29,89HC. Honors Contracts,1.0,,"89HC. Honors Contracts
Units: 1.0
Tutorial, three hours. Limited to students in College Honors Program. Designed as adjunct to lower-division lecture course. Individual study with lecture course instructor to explore topics in greater depth through supplemental readings, papers, or other activities. May be repeated for maximum of 4 units. Individual honors contract required. Honors content noted on transcript. Letter grading.

"
30,96. Special Courses in Chemistry  ,1.0 to 4.0,,"96. Special Courses in Chemistry  
Units: 1.0 to 4.0
Tutorial, to be arranged. May be repeated for maximum of 8 units. P/NP or letter grading.

"
31,98XA. PEERS Collaborative Learning Workshops for Life Sciences Majors,1.0,associated undergraduate lecture course in chemistry and biochemistry for life sciences majors,"98XA. PEERS Collaborative Learning Workshops for Life Sciences Majors
Units: 1.0
Laboratory, three hours. Corequisite: associated undergraduate lecture course in chemistry and biochemistry for life sciences majors. Limited to Program for Excellence in Education and Research in Science (PEERS) students. Development of intuition and problem-solving skills in collaborative learning environment. May be repeated four times, but only 1 unit may be applied toward graduation. P/NP grading.

"
32,98XB. PEERS Collaborative Learning Workshops for Physical Sciences and Engineering Majors,1.0,associated undergraduate lecture course in chemistry and biochemistry for physical sciences and engineering majors,"98XB. PEERS Collaborative Learning Workshops for Physical Sciences and Engineering Majors
Units: 1.0
Laboratory, three hours. Corequisite: associated undergraduate lecture course in chemistry and biochemistry for physical sciences and engineering majors. Limited to Program for Excellence in Education and Research in Science (PEERS) students. Development of intuition and problem-solving skills in collaborative learning environment. May be repeated four times, but only 1 unit may be applied toward graduation. P/NP grading.

"
33,99. Student Research Program,1.0 to 2.0,,"99. Student Research Program
Units: 1.0 to 2.0
Tutorial (supervised research or other scholarly work), three hours per week per unit. Entry-level research for lower-division students under guidance of faculty mentor. Students must be in good academic standing and enrolled in minimum of 12 units (excluding this course). Individual contract required; consult Undergraduate Research Center. May be repeated. P/NP grading.

"
34,C100. Genomics and Computational Biology,5.0,,"C100. Genomics and Computational Biology
Units: 5.0
Lecture, four hours; discussion, one hour. Introduction for biochemistry students of technologies and experimental data of genomics, as well as computational tools for analyzing them. Biochemistry and molecular biology dissected life into its component parts, one gene at time, but lacked integrative mechanisms for putting this information back together to predict what happens in complete organism (e.g., over 80 percent of drug candidates fail in clinical trials). High-throughput technologies such as sequencing, microarrays, mass-spec, and robotics have given biologists incredible new capabilities to analyze complete genomes, expression patterns, functions, and interactions across whole organisms, populations, and species. Use and analysis of such datasets becomes essential daily activity for biomedical scientists. Core principles and methodologies for analyzing genomics data to answer biological and medical questions, with focus on concepts that guide data analysis rather than algorithm details. Concurrently scheduled with course C200. P/NP or letter grading.

"
35,101. Catalysis in Modern Drug Discovery,4.0,Chemistry and Biochemistry 14D or 30B with a grade of C- or better,"101. Catalysis in Modern Drug Discovery
Units: 4.0
Lecture, three hours. Enforced requisite: course 14D or 30B with a grade of C- or better. Overview of drug discovery process with focus on transition metal catalysis in synthesis of medicines. Discussion of process by which drugs are discovered, from lead optimization to process development. Introduction to transition metal catalysis, area of critical importance in modern drug development. Study of fundamental concepts of transition metal catalysis and how catalysis has played transformative role in synthesis of modern medicines. Particular attention throughout to discussion of case studies that emphasize broad impact of medicinal chemistry and importance of catalysis in drug discovery. Highlights how organic chemistry can impact world around us, particularly in development of pharmaceuticals. P/NP or letter grading.

"
36,103. Environmental Chemistry  ,4.0,Chemistry and Biochemistry 30B 30BL Chemistry and Biochemistry 110A 153A (or 153AH) 153L,"103. Environmental Chemistry  
Units: 4.0
Lecture, four hours; discussion, one hour. Requisites: courses 30B, 30BL, 110A, 153A (or 153AH), 153L. Chemical aspects of air and water pollution, solid waste disposal, energy resources, and pesticide effects. Chemical reactions in environment and effect of chemical processes on environment. P/NP or letter grading.

"
37,C105. Introduction to Chemistry of Biology,4.0,Chemistry and Biochemistry 153A with grade of C- or better,"C105. Introduction to Chemistry of Biology
Units: 4.0
Lecture, three hours; discussion, one hour. Requisite: course 153A with grade of C- or better. Introduction to chemical biology. Topics include computational chemical biology, utility of synthesis in biochemical research, peptidomimetics, designed reagents for cellular imaging, natural product biosynthesis, protein engineering and directed evolution, cell biology of metal ions, imaging metal ions in cells, metal-containing drugs. Concurrently scheduled with course CM205A. Letter grading.

"
38,C107. Organometallic Chemistry,4.0,Chemistry and Biochemistry 172,"C107. Organometallic Chemistry
Units: 4.0
Lecture/discussion, three hours. Enforced requisite or corequisite: course 172. Survey of synthesis, structure, and reactivity (emphasizing mechanistic approach) of compounds containing carbon bonded to elements selected from main group metals, metalloids, and transition metals, including olefin complexes and metal carbonyls; applications in catalysis and organic synthesis. Concurrently scheduled with course C207. P/NP or letter grading.

"
39,C108. Mass Spectrometry for Chemists and Biochemists,2.0,Chemistry and Biochemistry 153A,"C108. Mass Spectrometry for Chemists and Biochemists
Units: 2.0
Lecture, one hour; laboratory, four hours. Requisite: course 153A. Introduction to principles and practice of organic and inorganic mass spectrometry. Topics include EI, CI, ICPMS, GC/MS, LC/MS, ESI, MALDI, MS/MS protein identification, and proteomics. Concurrently scheduled with course C208. P/NP or letter grading.

"
40,110A. Physical Chemistry: Chemical Thermodynamics,4.0,Chemistry and Biochemistry 20B Mathematics 32A or 3C (for life sciences majors) Physics 1A 1B and 1C (may be taken concurrently) or 1AH 1BH and 1CH (may be taken concurrently) or 5A 5B and 5C (may be taken concurrently) or 6A 6B and 6C (may be taken concurrently),"110A. Physical Chemistry: Chemical Thermodynamics
Units: 4.0
Lecture, three hours; discussion, one hour; tutorial, one hour. Requisites: course 20B, Mathematics 32A or 3C (for life sciences majors), Physics 1A, 1B, and 1C (may be taken concurrently), or 1AH, 1BH, and 1CH (may be taken concurrently), or 5A, 5B, and 5C (may be taken concurrently), or 6A, 6B, and 6C (may be taken concurrently). Fundamentals of thermodynamics, chemical and phase equilibria, thermodynamics of solutions, electrochemistry. P/NP or letter grading.

"
41,110B. Topics in Physical Chemistry,4.0,Chemistry and Biochemistry 110A 113A Chemistry and Biochemistry Mathematics 32B all with grades of C- or better,"110B. Topics in Physical Chemistry
Units: 4.0
Lecture, three hours; discussion, one hour; tutorial, one hour. Requisites: courses 110A, 113A, Mathematics 32B, all with grades of C- or better. Kinetic theory of gases, principles of statistical mechanics, statistical thermodynamics, equilibrium structure and free energy, relaxation and transport phenomena, macroscopic chemical kinetics, molecular-level reaction dynamics. P/NP or letter grading.

"
42,113A. Physical Chemistry: Introduction to Quantum Mechanics,4.0,Chemistry and Biochemistry 20B Mathematics 32A 32B 33A Physics 1A 1B and 1C or 1AH 1BH and 1CH or 5A 5B and 5C or 6A 6B and 6C with grades of C- or better,"113A. Physical Chemistry: Introduction to Quantum Mechanics
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: course 20B, Mathematics 32A, 32B, 33A, Physics 1A, 1B, and 1C, or 1AH, 1BH, and 1CH, or 5A, 5B, and 5C, or 6A, 6B, and 6C, with grades of C- or better. Departure from classical mechanics: Schrödinger versus Newton equations; model systems: particle-in-box, harmonic oscillator, rigid rotor, and hydrogen atom; approximation methods: perturbation and variational methods; many-electron atoms, spin, and Pauli principle, chemical bonding. P/NP or letter grading.

"
43,C113B. Quantum Chemistry Methods,4.0,Chemistry and Biochemistry 113A,"C113B. Quantum Chemistry Methods
Units: 4.0
Lecture, three hours; discussion, one hour; tutorial, one hour. Requisite: course 113A. Complete introduction to electronic structure theory methods used by general computational chemistry community, focusing primarily on ab initio methods. Students gain understanding of electronic structure methods and tools to identify which methods are suitable for which types of systems. Methods covered include Hartree Fock, density-functional theory, perturbative methods, and modern high-correlation methods; and highlight algorithms necessary to implement these methods efficiently. Concurrently scheduled with course C213B. P/NP or letter grading.

"
44,114. Physical Chemistry Laboratory,5.0,Chemistry and Biochemistry 30AL 110A Chemistry and Biochemistry and 113A with grades of C- or better course 110B,"114. Physical Chemistry Laboratory
Units: 5.0
Lecture, two hours; laboratory, eight hours. Enforced requisites: courses 30AL, 110A, and 113A, with grades of C- or better. Enforced corequisite: course 110B. Lectures include techniques of physical measurement, error analysis and statistics, special topics. Laboratory includes spectroscopy, thermodynamic measurements, and chemical dynamics. P/NP or letter grading.

"
45,114H. Physical Chemistry Laboratory (Honors)  ,5.0,Chemistry and Biochemistry 30AL 110A Chemistry and Biochemistry and 113A with grades of B or better course 110B or C113B,"114H. Physical Chemistry Laboratory (Honors)  
Units: 5.0
Lecture, two hours; laboratory, eight hours. Enforced requisites: courses 30AL, 110A, and 113A, with grades of B or better. Enforced corequisite: course 110B or C113B. Lectures include techniques of physical measurement, error analysis and statistics, special topics. Laboratory includes topics in physical chemistry to be selected in consultation with instructor. P/NP or letter grading.

"
46,C115A. Quantum Chemistry  ,4.0,Chemistry and Biochemistry 113A Mathematics 31A 31B 32A 32B 33A with grades of C- or better knowledge of differential equations equivalent to Mathematics 134 or 135 or Physics 131 and of analytic mechanics equivalent to Physics 105A,"C115A. Quantum Chemistry  
Units: 4.0
Lecture, four hours; discussion, one hour. Requisites: course 113A, Mathematics 31A, 31B, 32A, 32B, 33A, with grades of C- or better. Recommended: knowledge of differential equations equivalent to Mathematics 134 or 135 or Physics 131 and of analytic mechanics equivalent to Physics 105A. Course C115A or Physics 115B with grade of C- or better is requisite to C115B. Students entering course C115A are normally expected to take course C115B in following term. Designed for chemistry students with serious interest in quantum chemistry. Postulates and systematic development of nonrelativistic quantum mechanics; expansion theorems; wells; oscillators; angular momentum; hydrogen atom; matrix techniques; approximation methods; time dependent problems; atoms; spectroscopy; magnetic resonance; chemical bonding. May be concurrently scheduled with course C215A. P/NP or letter grading.

"
47,C115B. Quantum Chemistry  ,4.0,Chemistry and Biochemistry 113A C115A or Physics 115B Mathematics 31A 31B 32A 32B 33A with grades of C- or better,"C115B. Quantum Chemistry  
Units: 4.0
Lecture, four hours; discussion, one hour. Requisites: course 113A, C115A or Physics 115B, Mathematics 31A, 31B, 32A, 32B, 33A, with grades of C- or better. Recommended: knowledge of differential equations equivalent to Mathematics 134 or 135 or Physics 131 and of analytic mechanics equivalent to Physics 105A. Students entering course C115A are normally expected to take course C115B in following term. Designed for chemistry students with serious interest in quantum chemistry. Postulates and systematic development of nonrelativistic quantum mechanics; expansion theorems; wells; oscillators; angular momentum; hydrogen atom; matrix techniques; approximation methods; time dependent problems; atoms; spectroscopy; magnetic resonance; chemical bonding. May be concurrently scheduled with course C215B. P/NP or letter grading.

"
48,C115C. Advanced Quantum Chemistry: Applications,4.0,Chemistry and Biochemistry 113A C115B,"C115C. Advanced Quantum Chemistry: Applications
Units: 4.0
Lecture, three hours; discussion, one hour. Requisites: courses 113A, C115B. Topics in quantum chemistry selected from molecular structure, collision processes, theory of solids, symmetry and its applications, and theory of electromagnetic radiation. Concurrently scheduled with course C215C. P/NP or letter grading.

"
49,"M117. Structure, Patterns, and Polyhedra",5.0,,"M117. Structure, Patterns, and Polyhedra
Units: 5.0
(Same as Honors Collegium M180.) Lecture, four hours; laboratory, two hours. Exploration of structures and their geometric underpinnings, with examples and applications from architecture (space frames, domes), biology (enzyme complexes, viruses), chemistry (symmetry, molecular cages), design (tiling), engineering (space filling), and physics (crystal structures) to effect working knowledge of symmetry, two-dimensional patterns, and three-dimensional solids. P/NP or letter grading.

"
50,118. Colloidal Dynamics Laboratory,4.0,Chemistry and Biochemistry 110A and Chemistry and Biochemistry 110B with grades of B or better or equivalent statistical mechanics courses from engineering mathematics or physics,"118. Colloidal Dynamics Laboratory
Units: 4.0
Lecture, two hours; laboratory, eight hours. Requisites: courses 110A and 110B, with grades of B or better, or equivalent statistical mechanics courses from engineering, mathematics, or physics. One aspect of dispersions of microscale particles in viscous liquids is that such dispersions can be used as visual model systems for studying phases that chemistry undergraduate students typically learn about for nanoscale and molecular systems, yet they do not see. Temperature continuously excites molecules and causes rearrangements, giving dynamic views of macromolecules and particles in many fields, including cell and molecular biology, chemical engineering, chemistry, materials science, and physics. Letter grading.

"
51,M120. Soft Matter Laboratory,4.0,Physics 110B 115A,"M120. Soft Matter Laboratory
Units: 4.0
(Same as Physics M180G.) Lecture, 90 minutes; laboratory, four hours. Requisites: Physics 110B, 115A. Students gain experience of conducting independent research in experimental biological physics. Construction of modern microscope. Use of microscope to image biological specimens. Students learn optics, diffraction, imaging, microscopy, computational physics, and/or fluorescent labeling. P/NP or letter grading.

"
52,121. Special Topics in Physical Chemistry  ,4.0,Chemistry and Biochemistry 110B,"121. Special Topics in Physical Chemistry  
Units: 4.0
Lecture, four hours. Requisite: course 110B. Recommended: course 113A. Topics of considerable research interest presented at level suitable for students who have completed junior-year courses in physical chemistry. P/NP or letter grading.

"
53,C122. Mathematical Methods for Chemistry,4.0,Mathematics 31A 31B 32A 32B,"C122. Mathematical Methods for Chemistry
Units: 4.0
Lecture, four hours. Enforced requisites: Mathematics 31A, 31B, 32A, 32B. Review of basic mathematics necessary to study physical chemistry at graduate level, with focus on review of vectors, linear algebra, elementary complex analysis, and solution of ordinary and partial differential equations. Development of problem-solving skills through homework based on these mathematical techniques, with examples from physical chemistry. Concurrently scheduled with course C222. P/NP or letter grading.

"
